,candidate_name,candidate_id,election,office,district,year
380,"MEDINA, JOSE J.",1005789,2014 GENERAL,A,61,2014
381,"BURKE, AUTUMN",1357823,2014 GENERAL,A,62,2014
382,"GROSE, TED",1361796,2014 GENERAL,A,62,2014
383,"MILLER, ADAM J.",1365738,2014 GENERAL,A,63,2014
384,"RENDON, ANTHONY",1335212,2014 GENERAL,A,63,2014
385,"GIPSON, MIKE",1299805,2014 GENERAL,A,64,2014
386,"WALKER, PROPHET L.",1357980,2014 GENERAL,A,64,2014
387,"KIM, YOUNG O.",1358869,2014 GENERAL,A,65,2014
388,"QUIRK-SILVA, SHARON",1345707,2014 GENERAL,A,65,2014
389,"HADLEY, DAVID F.",1359993,2014 GENERAL,A,66,2014
390,"MURATSUCHI, AL",1315952,2014 GENERAL,A,66,2014
391,"MELENDEZ, MELISSA",1340675,2014 GENERAL,A,67,2014
392,"MELTON, CONRAD L",1366959,2014 GENERAL,A,67,2014
393,"WAGNER, DON",1260382,2014 GENERAL,A,68,2014
394,"CAMERON, ANNE",1364766,2014 GENERAL,A,68,2014
395,"DALY, TOM",1341148,2014 GENERAL,A,69,2014
396,"WALKER, SHERRY",1365739,2014 GENERAL,A,69,2014
397,"GOYA, JOHN C.",1358230,2014 GENERAL,A,70,2014
398,"O'DONNELL, PATRICK",1296270,2014 GENERAL,A,70,2014
399,"JONES, BRIAN W.",1319720,2014 GENERAL,A,71,2014
400,"TEORA, ANTHONY",1364128,2014 GENERAL,A,71,2014
401,"ALLEN, TRAVIS",1345834,2014 GENERAL,A,72,2014
402,"BLOCK, JOEL",1364662,2014 GENERAL,A,72,2014
403,"BROUGH, BILL",1356165,2014 GENERAL,A,73,2014
404,"GABRIELLA, WENDY B.",1359654,2014 GENERAL,A,73,2014
405,"CURRY, KEITH",1362287,2014 GENERAL,A,74,2014
406,"HARPER, MATTHEW",1341264,2014 GENERAL,A,74,2014
407,"WALDRON, MARIE",1273672,2014 GENERAL,A,75,2014
408,"SHESTOPLE, NICHOLAS",1366956,2014 GENERAL,A,75,2014
409,"CHAVEZ, ROCKY",1339551,2014 GENERAL,A,76,2014
410,"KROUSE, THOMAS",1367077,2014 GENERAL,A,76,2014
411,"MAIENSCHEIN, BRIAN",1339637,2014 GENERAL,A,77,2014
412,"HERNANDEZ, RUBEN",1365276,2014 GENERAL,A,77,2014
413,"ATKINS, TONI G.",1314678,2014 GENERAL,A,78,2014
414,"DECKER, BARBARA V.",1365230,2014 GENERAL,A,78,2014
415,"WEBER, SHIRLEY N.",1342820,2014 GENERAL,A,79,2014
416,"WILLIAMS, GEORGE R.",1367081,2014 GENERAL,A,79,2014
417,"GONZALEZ, LORENA S.",1353845,2014 GENERAL,A,80,2014
418,"GAINES, EDWARD T",1265444,2012 GENERAL,S,1,2012
419,"GRIFFITH-FLATTER, JULIE",1344996,2012 GENERAL,S,1,2012
420,"MIRANDA, FRANK",1347838,2012 GENERAL,S,3,2012
421,"WOLK, LOIS",1235630,2012 GENERAL,S,3,2012
422,"BERRYHILL, WILLIAM R.",1291444,2012 GENERAL,S,5,2012
423,"GALGIANI, CATHLEEN",1273495,2012 GENERAL,S,5,2012
424,"DE SAULNIER, MARK",1236046,2012 GENERAL,S,7,2012
425,"MEUSER, MARK P.",1345949,2012 GENERAL,S,7,2012
426,"HANCOCK, LONI",1238901,2012 GENERAL,S,9,2012
427,"MC ILROY, MARY CATHERINE",1347839,2012 GENERAL,S,9,2012
428,"DHILLON, HARMEET K.",1304545,2012 GENERAL,S,11,2012
429,"LENO, MARK",1226645,2012 GENERAL,S,11,2012
430,"HILL, JERRY A.",1290757,2012 GENERAL,S,13,2012
431,"LIEBER, SALLY",1231723,2012 GENERAL,S,13,2012
432,"BEALL, JIM",1251768,2012 GENERAL,S,15,2012
433,"COTO, JOE",1253525,2012 GENERAL,S,15,2012
434,"MONNING, WILLIAM W.",1297947,2012 GENERAL,S,17,2012
435,"BEAMAN, LARRY G.",1345530,2012 GENERAL,S,17,2012
436,"JACKSON, HANNAH-BETH",1005197,2012 GENERAL,S,19,2012
437,"STOKER, MIKE",1319188,2012 GENERAL,S,19,2012
438,"KNIGHT, STEVE",1295329,2012 GENERAL,S,21,2012
439,"MOFFATT, STAR",1345070,2012 GENERAL,S,21,2012
440,"EMMERSON, BILL",1261353,2012 GENERAL,S,23,2012
441,"O'DONNELL, MELISSA R.",1345772,2012 GENERAL,S,23,2012
442,"GONZALES, GILBERT V.",1345773,2012 GENERAL,S,25,2012
443,"LIU, CAROL",1005704,2012 GENERAL,S,25,2012
444,"PAVLEY, FRAN",1005757,2012 GENERAL,S,27,2012
445,"ZINK, TODD",1345540,2012 GENERAL,S,27,2012
446,"HUFF, ROBERT 'BOB'",1005380,2012 GENERAL,S,29,2012
447,"DIAMOND, GREGORY A.",1344287,2012 GENERAL,S,29,2012
448,"MILLER, JEFF",1224578,2012 GENERAL,S,31,2012
449,"ROTH, RICHARD D.",1343716,2012 GENERAL,S,31,2012
450,"LARA, RICARDO",1304215,2012 GENERAL,S,33,2012
451,"CHAUSER, LEE H.",1001773,2012 GENERAL,S,33,2012
452,"SVOLOS, CHARLOTTE A.",1344995,2012 GENERAL,S,35,2012
453,"WRIGHT, RODERICK ""ROD""",1005448,2012 GENERAL,S,35,2012
454,"WALTERS, MIMI",1251751,2012 GENERAL,S,37,2012
455,"YOUNG, STEVEN RAY",1346106,2012 GENERAL,S,37,2012
456,"BLOCK, MARTY J.",1294014,2012 GENERAL,S,39,2012
457,"PLESCIA, GEORGE A.",1240145,2012 GENERAL,S,39,2012
458,"BOSETTI, RICK A.",1342077,2012 GENERAL,A,1,2012
459,"DAHLE, BRIAN",1224716,2012 GENERAL,A,1,2012
460,"BABICH, MICHAEL",1335256,2012 GENERAL,A,1,2012
461,"CHESBRO, WESLEY",1005209,2012 GENERAL,A,2,2012
462,"LYNCH, THOMAS DEAN",1325013,2012 GENERAL,A,2,2012
463,"LOGUE, DANIEL R.",1292895,2012 GENERAL,A,3,2012
464,"ROUSE, CHARLES E.",1344872,2012 GENERAL,A,3,2012
465,"MUNN, JOHN R.",1005833,2012 GENERAL,A,4,2012
466,"YAMADA, MARIKO M.",1295701,2012 GENERAL,A,4,2012
467,"BIGELOW, FRANK",1342402,2012 GENERAL,A,5,2012
468,"OLLER, THOMAS",1004843,2012 GENERAL,A,5,2012
469,"GAINES, BETH B.",1335196,2012 GENERAL,A,6,2012
470,"PUGNO, ANDREW",1318501,2012 GENERAL,A,6,2012
471,"DICKINSON, ROGER",1251341,2012 GENERAL,A,7,2012
472,"ZACHARIOU, JONATHAN",1345692,2012 GENERAL,A,7,2012
473,"TATEISHI, PETER",1341059,2012 GENERAL,A,8,2012
474,"AMADOR, ANTONIO (TONY)",1343851,2012 GENERAL,A,9,2012
475,"PAN, RICHARD",1319205,2012 GENERAL,A,9,2012
476,"ALLEN, MICHAEL J.",1317458,2012 GENERAL,A,10,2012
477,"LEVINE, MARC",1338897,2012 GENERAL,A,10,2012
478,"FRAZIER JR., JAMES L.",1341572,2012 GENERAL,A,11,2012
479,"HUDSON, MICHAEL J.",1342403,2012 GENERAL,A,11,2012
480,"OLSEN, KRISTIN M.",1323478,2012 GENERAL,A,12,2012
481,"MATEO, CHRISTOPHER A.",1342398,2012 GENERAL,A,12,2012
482,"EGGMAN, SUSAN",1337454,2012 GENERAL,A,13,2012
483,"JAFRI, KHALID JEFFREY",1346351,2012 GENERAL,A,13,2012
484,"BONILLA, SUSAN",1315657,2012 GENERAL,A,14,2012
485,"SKINNER, NANCY",1303644,2012 GENERAL,A,15,2012
486,"RUYLE, EUGENE E.",1348091,2012 GENERAL,A,15,2012
487,"BUCHANAN, JOAN",1299400,2012 GENERAL,A,16,2012
488,"PHILLIPS, ESTES A.",1345066,2012 GENERAL,A,16,2012
489,"AMMIANO, TOM",1290517,2012 GENERAL,A,17,2012
490,"CLARK, JASON P.",1345820,2012 GENERAL,A,17,2012
491,"BONTA, ROB",1339733,2012 GENERAL,A,18,2012
492,"GUILLEN, ABEL",1338643,2012 GENERAL,A,18,2012
493,"BREYER, MICHAEL C.",1345758,2012 GENERAL,A,19,2012
494,"TING, PHIL",1343138,2012 GENERAL,A,19,2012
495,"ONG, JENNIFER",1337035,2012 GENERAL,A,20,2012
496,"QUIRK, BILL (WILLIAM J.)",1336944,2012 GENERAL,A,20,2012
497,"GRAY, ADAM C.",1315410,2012 GENERAL,A,21,2012
498,"MOBLEY JR., JACK M.",1294243,2012 GENERAL,A,21,2012
499,"MULLIN, KEVIN",1342937,2012 GENERAL,A,22,2012
500,"GILHAM, MARK H.",1344727,2012 GENERAL,A,22,2012
501,"PATTERSON, JIM",1346007,2012 GENERAL,A,23,2012
502,"WHALEN, ROBERT",1305348,2012 GENERAL,A,23,2012
503,"GORDON, RICHARD S.",1316724,2012 GENERAL,A,24,2012
504,"YANG, CHENGZHI ""GEORGE""",1325753,2012 GENERAL,A,24,2012
505,"WIECKOWSKI, ROBERT",1315744,2012 GENERAL,A,25,2012
506,"DIAMOND, ARLYNE M.",1345200,2012 GENERAL,A,25,2012
507,"CONWAY, CONNIE",1224866,2012 GENERAL,A,26,2012
508,"SOSA, JONATHON LOUIS",1345711,2012 GENERAL,A,26,2012
509,"CAMPOS, NORA",1318599,2012 GENERAL,A,27,2012
510,"LASSON, ROGER F.",1345774,2012 GENERAL,A,27,2012
511,"FONG, PAUL",1296276,2012 GENERAL,A,28,2012
512,"WALSH, CHAD R.",1341787,2012 GENERAL,A,28,2012
513,"STONE, MARK",1340922,2012 GENERAL,A,29,2012
514,"WALSH, TOM P.",1345814,2012 GENERAL,A,29,2012
515,"ALEJO, LUIS",1318708,2012 GENERAL,A,30,2012
516,"BERNOSKY, ROBERT E.",1322746,2012 GENERAL,A,30,2012
517,"BENNETT, JAMES D.",1347841,2012 GENERAL,A,31,2012
518,"PEREA, HENRY T.",1235519,2012 GENERAL,A,31,2012
519,"RIOS, PEDRO AYON",1343678,2012 GENERAL,A,32,2012
520,"SALAS JR., RUDY",1340989,2012 GENERAL,A,32,2012
521,"DONNELLY, TIM",1324846,2012 GENERAL,A,33,2012
522,"COFFEY, JOHN",1344000,2012 GENERAL,A,33,2012
523,"GROVE, SHANNON",1325437,2012 GENERAL,A,34,2012
524,"GOODMAN, VIRGINIA ""MARI""",1345763,2012 GENERAL,A,34,2012
525,"ACHADJIAN, KHATCHIK",1317317,2012 GENERAL,A,35,2012
526,"MANATA, GERALD L.",1344056,2012 GENERAL,A,35,2012
527,"FOX, STEVE",1297103,2012 GENERAL,A,36,2012
528,"SMITH, RONALD D.",1293675,2012 GENERAL,A,36,2012
529,"WALTER, ROBIN T.",1345759,2012 GENERAL,A,37,2012
530,"WILLIAMS, DAS",1316434,2012 GENERAL,A,37,2012
531,"HEADINGTON, EDWARD W.",1340991,2012 GENERAL,A,38,2012
532,"WILK, SCOTT T.",1339656,2012 GENERAL,A,38,2012
533,"ALARCON, RICHARD",1256876,2012 GENERAL,A,39,2012
534,"BOCANEGRA, RAUL",1330049,2012 GENERAL,A,39,2012
535,"MORRELL, MICHAEL L.",1252076,2012 GENERAL,A,40,2012
536,"WARNER, RUSS H.",1344267,2012 GENERAL,A,40,2012
537,"HOLDEN, CHRIS",1336467,2012 GENERAL,A,41,2012
538,"LOWE, DONNA",1343149,2012 GENERAL,A,41,2012
539,"NESTANDE, BRIAN",1301731,2012 GENERAL,A,42,2012
540,"OROZCO, MARK",1339400,2012 GENERAL,A,42,2012
541,"GATTO, MIKE",1005008,2012 GENERAL,A,43,2012
542,"KRIKORIAN, GREGORY S.",1345524,2012 GENERAL,A,43,2012
543,"GORELL, JEFF",1236048,2012 GENERAL,A,44,2012
544,"MAC ENERY, EILEEN",1345634,2012 GENERAL,A,44,2012
545,"BLUMENFIELD, BOB",1295328,2012 GENERAL,A,45,2012
546,"KOLSKI, CHRIS",1346317,2012 GENERAL,A,45,2012
547,"NAZARIAN, ADRIN",1323126,2012 GENERAL,A,46,2012
548,"STERN, JAY L.",1345760,2012 GENERAL,A,46,2012
549,"BACA JR., JOE",1251583,2012 GENERAL,A,47,2012
550,"BROWN, CHERYL",1340553,2012 GENERAL,A,47,2012
551,"HERNANDEZ, ROGER",1276119,2012 GENERAL,A,48,2012
552,"LARA-GARDNER, JOSEPH",1343990,2012 GENERAL,A,48,2012
553,"CHAU, EDWIN",1281706,2012 GENERAL,A,49,2012
554,"LIN, MATTHEW",1343682,2012 GENERAL,A,49,2012
555,"BLOOM, RICHARD",1330273,2012 GENERAL,A,50,2012
556,"BUTLER, BETSY",1298929,2012 GENERAL,A,50,2012
557,"GOMEZ, JIMMY",1334135,2012 GENERAL,A,51,2012
558,"LOPEZ, LUIS",1328641,2012 GENERAL,A,51,2012
559,"COBLE, KENNETH E.",1344724,2012 GENERAL,A,52,2012
560,"TORRES, NORMA",1226719,2012 GENERAL,A,52,2012
561,"PEREZ, JOHN A.",1304250,2012 GENERAL,A,53,2012
562,"AGUILAR, JOSE T.",1345825,2012 GENERAL,A,53,2012
563,"MITCHELL, HOLLY J.",1307762,2012 GENERAL,A,54,2012
564,"MC COWEN, KEITH B.",1304806,2012 GENERAL,A,54,2012
565,"HAGMAN, CURT",1297723,2012 GENERAL,A,55,2012
566,"PEREZ, V. MANUEL",1304928,2012 GENERAL,A,56,2012
567,"REYNAGA-EMETT, CORKY",1343551,2012 GENERAL,A,56,2012
568,"CALDERON, IAN",1336511,2012 GENERAL,A,57,2012
569,"JAIMES, NOEL A.",1326299,2012 GENERAL,A,57,2012
570,"GARCIA, CRISTINA",1343926,2012 GENERAL,A,58,2012
571,"KOTZE-RAMOS, PATRICIA A.",1345764,2012 GENERAL,A,58,2012
572,"JONES-SAWYER SR., REGINALD BYRON",1317870,2012 GENERAL,A,59,2012
573,"ROBINSON, RODNEY D.",1342076,2012 GENERAL,A,59,2012
574,"LINDER, ERIC",1345603,2012 GENERAL,A,60,2012
575,"PEREZ, JOSE L.",1345234,2012 GENERAL,A,60,2012
576,"BATEY, WILLIAM",1005696,2012 GENERAL,A,61,2012
577,"MEDINA, JOSE J.",1005789,2012 GENERAL,A,61,2012
578,"BRADFORD, STEVEN",1235136,2012 GENERAL,A,62,2012
580,"RENDON, ANTHONY",1335212,2012 GENERAL,A,63,2012
581,"GUERRERO, JACK M.",1346411,2012 GENERAL,A,63,2012
582,"HALL, ISADORE",1276161,2012 GENERAL,A,64,2012
583,"NORBY, CHRIS",1005701,2012 GENERAL,A,65,2012
584,"QUIRK-SILVA, SHARON",1345707,2012 GENERAL,A,65,2012
585,"HUEY, CRAIG",1342938,2012 GENERAL,A,66,2012
586,"MURATSUCHI, AL",1315952,2012 GENERAL,A,66,2012
587,"MELENDEZ, MELISSA",1340675,2012 GENERAL,A,67,2012
588,"PAULE, PHIL",1339613,2012 GENERAL,A,67,2012
589,"WAGNER, DON",1260382,2012 GENERAL,A,68,2012
590,"AVALOS, CHRISTINA",1346626,2012 GENERAL,A,68,2012
591,"DALY, TOM",1341148,2012 GENERAL,A,69,2012
592,"MORENO, JOSE L.",1346415,2012 GENERAL,A,69,2012
593,"FLORES-GIBSON, MARTHA",1325824,2012 GENERAL,A,70,2012
594,"LOWENTHAL, BONNIE",1297235,2012 GENERAL,A,70,2012
595,"JONES, BRIAN W.",1319720,2012 GENERAL,A,71,2012
596,"HURLEY, PATRICK J.",1345236,2012 GENERAL,A,71,2012
597,"ALLEN, TRAVIS",1345834,2012 GENERAL,A,72,2012
598,"EDGAR, TROY",1344503,2012 GENERAL,A,72,2012
599,"HARKEY, DIANE",1281241,2012 GENERAL,A,73,2012
600,"CORBETT, JAMES",1345829,2012 GENERAL,A,73,2012
601,"MANSOOR, ALLAN R.",1317797,2012 GENERAL,A,74,2012
602,"RUSH, ROBERT L.",1345430,2012 GENERAL,A,74,2012
603,"WALDRON, MARIE",1273672,2012 GENERAL,A,75,2012
604,"HEROLD, MATTHEW A.",1344997,2012 GENERAL,A,75,2012
605,"CHAVEZ, ROCKY",1339551,2012 GENERAL,A,76,2012
606,"HODGES, SHERRY M.",1336275,2012 GENERAL,A,76,2012
607,"MAIENSCHEIN, BRIAN",1339637,2012 GENERAL,A,77,2012
608,"HERNANDEZ JR., RUBEN D. ""RJ""",1338330,2012 GENERAL,A,77,2012
609,"ATKINS, TONI G.",1314678,2012 GENERAL,A,78,2012
610,"DENNEY, RALPH",1281914,2012 GENERAL,A,78,2012
611,"ENGLAND, MARY",1343974,2012 GENERAL,A,79,2012
612,"WEBER, SHIRLEY N.",1342820,2012 GENERAL,A,79,2012
613,"HUESO, BEN",1315742,2012 GENERAL,A,80,2012
614,"ROACH, DERRICK",1305524,2012 GENERAL,A,80,2012
676,"EVANS, NOREEN M.",1227859,2010 GENERAL,S,2,2010
677,"WIESNER, LAWRENCE R.",1282695,2010 GENERAL,S,2,2010
678,"LA MALFA, DOUG",1239935,2010 GENERAL,S,4,2010
679,"GILL, LATHE SHELDON",1319806,2010 GENERAL,S,4,2010
680,"STEINBERG, DARRELL",1005223,2010 GENERAL,S,6,2010
681,"HYLAND, LANRIC",1323907,2010 GENERAL,S,6,2010
682,"TORNO, STEVE",1325306,2010 GENERAL,S,6,2010
683,"WEILAND, MARCEL C.",1325112,2010 GENERAL,S,6,2010
684,"YEE, LELAND Y.",1226856,2010 GENERAL,S,8,2010
686,"CORBETT, ELLEN",1005551,2010 GENERAL,S,10,2010
687,"CHOU, IVAN C.",1325349,2010 GENERAL,S,10,2010
688,"MAFFIT, ROBERT B.",1325351,2010 GENERAL,S,10,2010
689,"CABALLERO, ANNA",1282323,2010 GENERAL,S,12,2010
690,"CANNELLA, ANTHONY JOSEPH",1318121,2010 GENERAL,S,12,2010
691,"BERRYHILL, TOM",1294245,2010 GENERAL,S,14,2010
692,"JOHNSON, LARRY",1326151,2010 GENERAL,S,14,2010
693,"RUBIO, MICHAEL J.",1308516,2010 GENERAL,S,16,2010
694,"THIESEN, TIMOTHY A.",1325253,2010 GENERAL,S,16,2010
695,"FULLER, JEAN",1284988,2010 GENERAL,S,18,2010
696,"POPE, CARTER N.",1316318,2010 GENERAL,S,18,2010
697,"PADILLA, ALEX",1278243,2010 GENERAL,S,20,2010
698,"EVANS, KATHLEEN S.",1326082,2010 GENERAL,S,20,2010
699,"GALYSH, ADRIAN B.",1323297,2010 GENERAL,S,20,2010
700,"DE LEON, KEVIN",1263266,2010 GENERAL,S,22,2010
701,"HERNANDEZ, EDWARD P.",1266775,2010 GENERAL,S,24,2010
702,"MORRISON, WILLIAM M.",1316414,2010 GENERAL,S,24,2010
703,"PRICE, CURREN D.",1317525,2010 GENERAL,S,26,2010
704,"HENDERSON, CINDY VARELA",1284428,2010 GENERAL,S,26,2010
705,"SHIFREN, NACHUM",1314570,2010 GENERAL,S,26,2010
707,"OROPEZA, JENNY",1005665,2010 GENERAL,S,28,2010
708,"STAMMREICH, JOHN S.",1317544,2010 GENERAL,S,28,2010
709,"RUSKIN, DAVID",1326298,2010 GENERAL,S,28,2010
710,"CALDERON, RONALD",1235391,2010 GENERAL,S,30,2010
711,"WILLIS, WARREN P.",1325618,2010 GENERAL,S,30,2010
712,"MC LEOD, GLORIA NEGRETE",1005234,2010 GENERAL,S,32,2010
713,"DE VRIES, EARL",1324716,2010 GENERAL,S,32,2010
714,"CORREA, LOU",1004849,2010 GENERAL,S,34,2010
715,"KRING, LUCILLE",1325877,2010 GENERAL,S,34,2010
716,"ANDERSON, JOEL C.",1004048,2010 GENERAL,S,36,2010
717,"CLAY, PAUL",1319584,2010 GENERAL,S,36,2010
718,"METTI, MICHAEL S.",098361,2010 GENERAL,S,36,2010
719,"WYLAND, MARK B.",1005714,2010 GENERAL,S,38,2010
720,"JONES, GILA",1313233,2010 GENERAL,S,38,2010
721,"STONE, KRISTI",1239924,2010 GENERAL,S,38,2010
722,"VARGAS, JUAN C.",1005741,2010 GENERAL,S,40,2010
723,"HENDRY, BRIAN J.",1325454,2010 GENERAL,S,40,2010
724,"BROOKS, KAREN",1325571,2010 GENERAL,A,1,2010
725,"CHESBRO, WESLEY",1005209,2010 GENERAL,A,1,2010
726,"NIELSEN, JIM",1299401,2010 GENERAL,A,2,2010
727,"HARRINGTON, MICHAEL ""MICKEY""",1283210,2010 GENERAL,A,3,2010
728,"LOGUE, DANIEL R.",1292895,2010 GENERAL,A,3,2010
729,"BRYANT, GARY C.",1325823,2010 GENERAL,A,3,2010
730,"CAMPANALE, DENNIS J.",1307321,2010 GENERAL,A,4,2010
731,"GAINES, EDWARD T",1265444,2010 GENERAL,A,4,2010
732,"FREDERICK, DANIEL D.",1323642,2010 GENERAL,A,4,2010
733,"PAN, RICHARD",1319205,2010 GENERAL,A,5,2010
734,"PUGNO, ANDREW",1318501,2010 GENERAL,A,5,2010
735,"MARTINEZ, ELIZABETH S.",1323643,2010 GENERAL,A,5,2010
736,"HUFFMAN, JARED",1273044,2010 GENERAL,A,6,2010
737,"STEPHENS, ROBERT L.",1324411,2010 GENERAL,A,6,2010
738,"ALLEN, MICHAEL J.",1317458,2010 GENERAL,A,7,2010
739,"GENTRY, DORIS L.",1304912,2010 GENERAL,A,7,2010
740,"MOORE, KATHRYN N.",1323369,2010 GENERAL,A,7,2010
741,"YAMADA, MARIKO M.",1295701,2010 GENERAL,A,8,2010
742,"CONNOR, MICHELLE P.",1323678,2010 GENERAL,A,8,2010
743,"DICKINSON, ROGER",1251341,2010 GENERAL,A,9,2010
744,"COSTA, DANIEL A.",1323450,2010 GENERAL,A,9,2010
745,"REDDING, RICK D.",1325368,2010 GENERAL,A,9,2010
746,"HUBER, ALYSON",1297647,2010 GENERAL,A,10,2010
747,"SIEGLOCK, JACK A.",1296571,2010 GENERAL,A,10,2010
748,"BONSER, JANICE M.",1282162,2010 GENERAL,A,10,2010
749,"TROYER, ALBERT",1282326,2010 GENERAL,A,10,2010
750,"BONILLA, SUSAN",1315657,2010 GENERAL,A,11,2010
751,"CRAVEN, JULIE",1325447,2010 GENERAL,A,11,2010
752,"MA, FIONA",1261661,2010 GENERAL,A,12,2010
753,"FAUSTINO, ALFONSO S.",1325626,2010 GENERAL,A,12,2010
754,"AMMIANO, TOM",1290517,2010 GENERAL,A,13,2010
755,"PETER, LAURA A.",1325627,2010 GENERAL,A,13,2010
756,"SKINNER, NANCY",1303644,2010 GENERAL,A,14,2010
757,"HATCHER, RYAN J.",1325718,2010 GENERAL,A,14,2010
758,"BUCHANAN, JOAN",1299400,2010 GENERAL,A,15,2010
759,"WILSON, ABRAM",1298171,2010 GENERAL,A,15,2010
760,"SWANSON, SANDRE",1268691,2010 GENERAL,A,16,2010
761,"FAISON, JAMES",1309227,2010 GENERAL,A,16,2010
762,"RINGER, LISA D.",1325004,2010 GENERAL,A,16,2010
763,"GALGIANI, CATHLEEN",1273495,2010 GENERAL,A,17,2010
764,"MOBLEY JR., JACK M.",1294243,2010 GENERAL,A,17,2010
765,"HAYASHI, MARY",1266779,2010 GENERAL,A,18,2010
766,"HAVIG, MICHAEL",1326302,2010 GENERAL,A,18,2010
767,"HILL, JERRY A.",1290757,2010 GENERAL,A,19,2010
768,"TUTIN, GARY",1326081,2010 GENERAL,A,19,2010
769,"WAISMAN, ALBERTO A.",1325934,2010 GENERAL,A,19,2010
770,"WIECKOWSKI, ROBERT",1315744,2010 GENERAL,A,20,2010
771,"SHAHAB, ADNAN I.",1319780,2010 GENERAL,A,20,2010
772,"CONLON, GREG",1325714,2010 GENERAL,A,21,2010
773,"GORDON, RICHARD S.",1316724,2010 GENERAL,A,21,2010
775,"FONG, PAUL",1296276,2010 GENERAL,A,22,2010
776,"CAMPBELL, TIMOTHY J. (T.J.)",1322889,2010 GENERAL,A,22,2010
777,"HICKOK, ERIC",1325347,2010 GENERAL,A,22,2010
778,"CAMPOS, NORA",1318599,2010 GENERAL,A,23,2010
779,"SAINI, ATUL",1326300,2010 GENERAL,A,23,2010
780,"BEALL, JIM",1251768,2010 GENERAL,A,24,2010
781,"CHANDLER, ROBERT L.",1322024,2010 GENERAL,A,24,2010
782,"OLSEN, KRISTIN M.",1323478,2010 GENERAL,A,25,2010
783,"BERRYHILL, WILLIAM R.",1291444,2010 GENERAL,A,26,2010
784,"WEINTZ, TIM P.",1220774,2010 GENERAL,A,26,2010
785,"MONNING, WILLIAM W.",1297947,2010 GENERAL,A,27,2010
786,"BLACK, LINDA ""ELLIE""",1324062,2010 GENERAL,A,27,2010
787,"ALEJO, LUIS",1318708,2010 GENERAL,A,28,2010
788,"BERNOSKY, ROBERT E.",1322746,2010 GENERAL,A,28,2010
789,"HALDERMAN, LINDA F.",1323720,2010 GENERAL,A,29,2010
790,"ESSWEIN, MICHAEL J.",1324666,2010 GENERAL,A,29,2010
791,"FLOREZ, FRAN",1227860,2010 GENERAL,A,30,2010
792,"VALADAO, DAVID G.",1322852,2010 GENERAL,A,30,2010
793,"PEREA, HENRY T.",1235519,2010 GENERAL,A,31,2010
794,"SHOEMAKER, BRANDON K.",1319091,2010 GENERAL,A,31,2010
795,"GROVE, SHANNON",1325437,2010 GENERAL,A,32,2010
796,"SPOHN-GROSS, HOLLY",1325773,2010 GENERAL,A,32,2010
797,"ACHADJIAN, KHATCHIK",1317317,2010 GENERAL,A,33,2010
