candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
Doug Thron,A,1.0,GRN,2002,15315,132039,11.598845795560402,64065,0,0
Patty Berg,A,1.0,DEM,2002,64065,132039,48.51975552677618,64065,1,0
Rob Brown,A,1.0,REP,2002,52659,132039,39.88139867766341,64065,0,0
Doug Kinyon,A,2.0,DEM,2002,34524,117881,29.287162477413663,79361,0,0
Doug La Malfa,A,2.0,REP,2002,79361,117881,67.3229782577345,79361,1,0
Pete Bret,A,2.0,LIB,2002,3996,117881,3.3898592648518417,79361,0,0
Jon Petersen,A,3.0,LIB,2002,5987,127308,4.702768089986489,78225,0,0
Rick Keene,A,3.0,REP,2002,78225,127308,61.44547082665661,78225,1,0
Stuart R. King,A,3.0,DEM,2002,43096,127308,33.8517610833569,78225,0,0
Scott Warren,A,4.0,DEM,2002,45722,136744,33.43620195401626,91022,0,0
Tim Leslie,A,4.0,REP,2002,91022,136744,66.56379804598373,91022,1,0
Dave Cox,A,5.0,REP,2002,79527,122140,65.11134763386278,79527,1,0
Eric Ulis,A,5.0,DEM,2002,37277,122140,30.519895202226955,79527,0,0
Roberto Leibman,A,5.0,LIB,2002,5336,122140,4.368757163910267,79527,0,0
Joe Nation,A,6.0,DEM,2002,96157,138955,69.20010075204203,96157,1,0
Kenneth A. Hitt,A,6.0,REP,2002,37375,138955,26.89719693425929,96157,0,0
Richard Olmstead,A,6.0,LIB,2002,5423,138955,3.902702313698679,96157,0,0
David Kozlowski,A,7.0,LIB,2002,24386,101787,23.957872812834644,77401,0,0
Patricia Wiggins,A,7.0,DEM,2002,77401,101787,76.04212718716535,77401,1,0
John R. Munn,A,8.0,REP,2002,41482,98842,41.96798931628255,57360,0,0
Lois Wolk,A,8.0,DEM,2002,57360,98842,58.03201068371745,57360,1,0
Darrell Steinberg,A,9.0,DEM,2002,58883,84351,69.80711550544747,58883,1,0
David A. Pegos,A,9.0,REP,2002,22146,84351,26.25457908027172,58883,0,0
Douglas M. Poston,A,9.0,LIB,2002,3322,84351,3.938305414280803,58883,0,0
Alan Nakanishi,A,10.0,REP,2002,72302,120206,60.14841189291717,72302,1,0
Katherine E. Maestas,A,10.0,DEM,2002,47904,120206,39.85158810708284,72302,0,0
Frank Manske,A,11.0,LIB,2002,3752,95462,3.930359724288198,61969,0,0
Jan Denny,A,11.0,REP,2002,29741,95462,31.154805053319645,61969,0,0
Joe Canciamilla,A,11.0,DEM,2002,61969,95462,64.91483522239216,61969,1,0
Howard Epstein,A,12.0,REP,2002,14699,92850,15.830910070005386,72166,0,0
Leland Yee,A,12.0,DEM,2002,72166,92850,77.72320947765212,72166,1,0
Michael F. Denny,A,12.0,LIB,2002,5985,92850,6.445880452342488,72166,0,0
Christopher R. Maden,A,13.0,LIB,2002,5134,110333,4.653186263402608,89921,0,0
Gail E. Neira,A,13.0,REP,2002,15278,110333,13.84717174372128,89921,0,0
Mark Leno,A,13.0,DEM,2002,89921,110333,81.49964199287612,89921,1,0
Loni Hancock,A,14.0,DEM,2002,102373,102373,100.0,102373,1,0
Donna Gerber,A,15.0,DEM,2002,63349,136671,46.351457148919664,73322,0,0
Guy Houston,A,15.0,REP,2002,73322,136671,53.64854285108033,73322,1,0
George Nugent,A,16.0,REP,2002,11634,92354,12.597180414492062,77744,0,0
Richard E. Armstrong,A,16.0,LIB,2002,2976,92354,3.2223834376421165,77744,0,0
Wilma Chan,A,16.0,DEM,2002,77744,92354,84.18043614786582,77744,1,0
Barbara S. Matthews,A,17.0,DEM,2002,42504,75230,56.498737205901904,42504,1,0
Brian McCabe,A,17.0,REP,2002,32726,75230,43.5012627940981,42504,0,0
Ellen M. Corbett,A,18.0,DEM,2002,60627,84655,71.61656133719212,60627,1,0
Jack Hovingh,A,18.0,REP,2002,24028,84655,28.38343866280787,60627,0,0
David Kawas,A,19.0,REP,2002,25668,100488,25.543348459517556,62972,0,0
Gene Mullin,A,19.0,DEM,2002,62972,100488,62.666188997691265,62972,1,0
Jo Chamberlain,A,19.0,GRN,2002,9992,100488,9.943475837910995,62972,0,0
Robert W. Giedt,A,19.0,LIB,2002,1856,100488,1.8469867048801845,62972,0,0
Daniel L. Dow,A,20.0,REP,2002,23108,80075,28.857945675928814,53304,0,0
John A. Dutra,A,20.0,DEM,2002,53304,80075,66.56759288167343,53304,1,0
Keith Lyon,A,20.0,LIB,2002,3663,80075,4.5744614423977525,53304,0,0
Jim Russell,A,21.0,REP,2002,42808,119198,35.91335425091025,72104,0,0
Joe Simitian,A,21.0,DEM,2002,72104,119198,60.490947834695206,72104,1,0
"Raymond M. Bell, Jr.",A,21.0,LIB,2002,4286,119198,3.595697914394537,72104,0,0
Kennita Watson,A,22.0,LIB,2002,4003,83101,4.817029879303498,48543,0,0
Sally J. Lieber,A,22.0,DEM,2002,48543,83101,58.41445951312259,48543,1,0
Stan Kawczynski,A,22.0,REP,2002,30555,83101,36.768510607573916,48543,0,0
Manny Diaz,A,23.0,DEM,2002,42461,52071,81.54442972095792,42461,1,0
"Warner S. Bloomberg, 3rd",A,23.0,GRN,2002,9610,52071,18.455570279042078,42461,0,0
Rebecca Cohn,A,24.0,DEM,2002,69992,69992,100.0,69992,1,0
Dave Cogdill,A,25.0,REP,2002,68949,110983,62.12573096780588,68949,1,0
E. Denise Smith,A,25.0,DEM,2002,42034,110983,37.87426903219412,68949,0,0
Greg Aghazarian,A,26.0,REP,2002,48540,84609,57.36978335638052,48540,1,0
Tom Hallinan,A,26.0,DEM,2002,36069,84609,42.63021664361947,48540,0,0
Chuck Carter,A,27.0,REP,2002,44444,125950,35.2870186581977,77212,0,0
Gordon Sachtjen,A,27.0,LIB,2002,4294,125950,3.4092894005557763,77212,0,0
John Laird,A,27.0,DEM,2002,77212,125950,61.30369194124653,77212,1,0
Jane Howard,A,28.0,REP,2002,27945,71500,39.08391608391608,43555,0,0
Simon Salinas,A,28.0,DEM,2002,43555,71500,60.91608391608392,43555,1,0
Jonathan Zwickel,A,29.0,LIB,2002,3613,103601,3.4874180751151047,63011,0,0
Richard Martinez Jr.,A,29.0,DEM,2002,36977,103601,35.691740427215954,63011,0,0
Steve Samuelian,A,29.0,REP,2002,63011,103601,60.820841497668944,63011,1,0
Dean Gardner,A,30.0,REP,2002,26320,52906,49.74861074358296,26586,0,0
Nicole M. Parra,A,30.0,DEM,2002,26586,52906,50.25138925641704,26586,1,0
Sarah Reyes,A,31.0,DEM,2002,41050,41050,100.0,41050,1,0
Kevin Mc Carthy,A,32.0,REP,2002,78229,103141,75.84665651874619,78229,1,0
"Michael A. Shea, III",A,32.0,DEM,2002,24912,103141,24.153343481253817,78229,0,0
Abel Maldonado,A,33.0,REP,2002,76590,122188,62.682096441549085,76590,1,0
Larry Houlgate,A,33.0,DEM,2002,45598,122188,37.31790355845091,76590,0,0
Bill Maze,A,34.0,REP,2002,48625,74517,65.25356630030731,48625,1,0
Joshua Miller,A,34.0,(W/I),2002,221,74517,0.2965766201001114,48625,0,0
Virginia Gurrola,A,34.0,DEM,2002,25671,74517,34.449857079592576,48625,0,0
Bob Pohl,A,35.0,REP,2002,37026,117393,31.54021108583987,72394,0,0
Cary Savitch,A,35.0,REF,2002,3827,117393,3.2599899482933394,72394,0,0
Craig Warren Thomas,A,35.0,LIB,2002,3051,117393,2.5989624594311413,72394,0,0
Cristina Carreno Martin,A,35.0,(W/I),2002,1095,117393,0.9327643045156014,72394,0,0
Hannah-Beth Jackson,A,35.0,DEM,2002,72394,117393,61.66807220192004,72394,1,0
Robert Davenport,A,36.0,DEM,2002,26230,72668,36.09566796939506,46438,0,0
Sharon Runner,A,36.0,REP,2002,46438,72668,63.90433203060494,46438,1,0
Bruce J. Thomas,A,37.0,DEM,2002,43806,118682,36.91039921807857,74876,0,0
Tony Strickland,A,37.0,REP,2002,74876,118682,63.08960078192144,74876,1,0
Karl Lembke,A,38.0,LIB,2002,4099,106482,3.8494769068950623,64757,0,0
Keith Stuart Richman,A,38.0,REP,2002,64757,106482,60.81497342273812,64757,1,0
Paula L. Calderon,A,38.0,DEM,2002,37626,106482,35.335549670366824,64757,0,0
Cindy Montanez,A,39.0,DEM,2002,36449,47898,76.09712305315462,36449,1,0
Ely DeLa Cruz Ayao,A,39.0,REP,2002,11449,47898,23.90287694684538,36449,0,0
Connie Friedman,A,40.0,REP,2002,34038,78229,43.51071853149088,44191,0,0
Lloyd E. Levine,A,40.0,DEM,2002,44191,78229,56.48928146850912,44191,1,0
"Brian ""Max"" Kelly",A,41.0,LIB,2002,4244,116566,3.6408558241682822,71614,0,0
Fran Pavley,A,41.0,DEM,2002,71614,116566,61.43643944203284,71614,1,0
Michael J. Wissot,A,41.0,REP,2002,40708,116566,34.922704733798874,71614,0,0
Jeffrey A. Bissiri,A,42.0,REP,2002,29049,113061,25.693209860163986,84012,0,0
Paul Koretz,A,42.0,DEM,2002,84012,113061,74.30679013983602,84012,1,0
Dario Frommer,A,43.0,DEM,2002,46458,76257,60.922931665289745,46458,1,0
Ingrid Geyer,A,43.0,REP,2002,26590,76257,34.868930065436615,46458,0,0
Sandor J. Woren,A,43.0,LIB,2002,3209,76257,4.208138269273641,46458,0,0
Bob New,A,44.0,LIB,2002,3015,100697,2.994130907574208,60570,0,0
Carol Liu,A,44.0,DEM,2002,60570,100697,60.150749277535574,60570,1,0
Dan O'Connell,A,44.0,REP,2002,37112,100697,36.855119814890216,60570,0,0
Jackie Goldberg,A,45.0,DEM,2002,40341,47140,85.5770046669495,40341,1,0
Judy Chau Phuong Cook,A,45.0,LIB,2002,6799,47140,14.422995333050487,40341,0,0
Fabian Nunez,A,46.0,DEM,2002,27227,31544,86.31435455237128,27227,1,0
"Manuel ""Manny"" Aldana, Jr.",A,46.0,REP,2002,4317,31544,13.685645447628708,27227,0,0
"Herb J. Wesson, Jr.",A,47.0,DEM,2002,72792,88944,81.84025903939558,72792,1,0
Jonathan Leonard,A,47.0,REP,2002,13395,88944,15.060037776578522,72792,0,0
Keith Clemens,A,47.0,LIB,2002,2757,88944,3.099703184025904,72792,0,0
Gerard Toussaint Robinson,A,48.0,REP,2002,4427,47128,9.393566457307758,41280,0,0
Mark Ridley-Thomas,A,48.0,DEM,2002,41280,47128,87.59124087591242,41280,1,0
Nolayan O. Herdegen,A,48.0,LIB,2002,1421,47128,3.0151926667798334,41280,0,0
George C. Shen,A,49.0,REP,2002,18461,56141,32.88327603712082,37680,0,0
Judy Chu,A,49.0,DEM,2002,37680,56141,67.11672396287918,37680,1,0
Gladys O. Miller,A,50.0,REP,2002,11499,42780,26.87938288920056,31281,0,0
Marco Antonio Firebaugh,A,50.0,DEM,2002,31281,42780,73.12061711079943,31281,1,0
Jerome E. Horton,A,51.0,DEM,2002,50191,50191,100.0,50191,1,0
Mark Anthony Iles,A,52.0,REP,2002,4244,40526,10.472289394462814,36282,0,0
Mervyn M. Dymally,A,52.0,DEM,2002,36282,40526,89.52771060553718,36282,1,0
George Nakano,A,53.0,DEM,2002,69135,112724,61.331216067563254,69135,1,0
Linda P. Wilson,A,53.0,REP,2002,43589,112724,38.668783932436746,69135,0,0
Alan S. Lowenthal,A,54.0,DEM,2002,59726,99440,60.062349155269516,59726,1,0
Cesar N. Castellanos,A,54.0,REP,2002,39714,99440,39.93765084473049,59726,0,0
Guy Wilson,A,55.0,LIB,2002,11693,60517,19.32184344894823,48299,0,0
Jenny Oropeza,A,55.0,DEM,2002,48299,60517,79.81063172331741,48299,1,0
Margherita Underhill,A,55.0,(W/I),2002,525,60517,0.8675248277343556,48299,0,0
"John W. Brantuk, Sr.",A,56.0,REP,2002,24751,64270,38.510969348062865,39519,0,0
Rudy Bermudez,A,56.0,DEM,2002,39519,64270,61.489030651937135,39519,1,0
Anne M. Moll,A,57.0,REP,2002,19677,60538,32.503551488321385,39341,0,0
Ed Chavez,A,57.0,DEM,2002,39341,60538,64.98562886121114,39341,1,0
Leland Thomas Faegre,A,57.0,LIB,2002,1520,60538,2.510819650467475,39341,0,0
Dave Butler,A,58.0,REP,2002,25903,70900,36.53455571227081,44997,0,0
Ronald S. Calderon,A,58.0,DEM,2002,44997,70900,63.4654442877292,44997,1,0
Dennis L. Mountjoy,A,59.0,REP,2002,65439,103227,63.39329826498881,65439,1,0
Patrick D. Smith,A,59.0,DEM,2002,37788,103227,36.606701735011185,65439,0,0
Adrian Lincoln Martinez,A,60.0,DEM,2002,27964,90224,30.99397056215641,62260,0,0
"Robert ""Bob"" Pacheco",A,60.0,REP,2002,62260,90224,69.00602943784358,62260,1,0
Gloria Negrete McLeod,A,61.0,DEM,2002,31084,49763,62.464079737957924,31084,1,0
Matt Munson,A,61.0,REP,2002,18679,49763,37.535920262042076,31084,0,0
Ed Scott,A,62.0,REP,2002,12761,41505,30.745693289965065,28744,0,0
John Longville,A,62.0,DEM,2002,28744,41505,69.25430671003494,28744,1,0
Bob Dutton,A,63.0,REP,2002,49480,81239,60.90670736961312,49480,1,0
Doris Wallace,A,63.0,DEM,2002,31759,81239,39.093292630386884,49480,0,0
John J. Benoit,A,64.0,REP,2002,55351,87469,63.28070516411529,55351,1,0
Robert Melsh,A,64.0,DEM,2002,32118,87469,36.71929483588471,55351,0,0
Darrel R. Scholes,A,65.0,DEM,2002,32749,89347,36.65372088598386,56598,0,0
Russ Bogh,A,65.0,REP,2002,56598,89347,63.346279114016134,56598,1,0
David G. Brostrom,A,66.0,DEM,2002,25930,81135,31.959080544771062,55205,0,0
Ray Haynes,A,66.0,REP,2002,55205,81135,68.04091945522894,55205,1,0
Tom Harman,A,67.0,REP,2002,69420,101013,68.72382762614713,69420,1,0
"William R. ""Bill"" Orton",A,67.0,DEM,2002,31593,101013,31.276172373852873,69420,0,0
Al Snook,A,68.0,DEM,2002,23721,78847,30.084847869925298,51316,0,0
Douglas J. Scribner,A,68.0,LIB,2002,3810,78847,4.832143264803988,51316,0,0
Ken Maddox,A,68.0,REP,2002,51316,78847,65.08300886527071,51316,1,0
Lou Correa,A,69.0,DEM,2002,25392,38879,65.31032176753517,25392,1,0
Reuben Ross,A,69.0,REP,2002,13487,38879,34.68967823246483,25392,0,0
John Campbell,A,70.0,REP,2002,73880,110544,66.83311622521349,73880,1,0
John Kane,A,70.0,DEM,2002,33449,110544,30.258539586047185,73880,0,0
Paul Studier,A,70.0,LIB,2002,3215,110544,2.9083441887393255,73880,0,0
Bea Foster,A,71.0,DEM,2002,25770,95534,26.974689639290723,69764,0,0
Todd Spitzer,A,71.0,REP,2002,69764,95534,73.02531036070927,69764,1,0
Brian Lee Cross,A,72.0,LIB,2002,3300,80041,4.122887020402044,54505,0,0
G. Nanjundappa,A,72.0,DEM,2002,22236,80041,27.78076235929086,54505,0,0
Lynn Daucher,A,72.0,REP,2002,54505,80041,68.09635062030709,54505,1,0
Bob Vondruska,A,73.0,LIB,2002,3721,95096,3.9128880289391774,64271,0,0
Kathleen Calzada,A,73.0,DEM,2002,27104,95096,28.501724573063008,64271,0,0
"Patricia C. ""Pat"" Bates",A,73.0,REP,2002,64271,95096,67.5853873979978,64271,1,0
John Herrera,A,74.0,DEM,2002,36315,108794,33.37959813960329,66276,0,0
Kristi Stone,A,74.0,LIB,2002,6203,108794,5.7016011912421645,66276,0,0
Mark Wyland,A,74.0,REP,2002,66276,108794,60.91880066915455,66276,1,0
Connie Witt,A,75.0,DEM,2002,42557,110156,38.633392643160605,64452,0,0
George A. Plescia,A,75.0,REP,2002,64452,110156,58.50974980936127,64452,1,0
Richard J. Senecal,A,75.0,LIB,2002,3147,110156,2.856857547478122,64452,0,0
Bob Divine,A,76.0,REP,2002,34872,102134,34.14338026514187,63682,0,0
Christine Kehoe,A,76.0,DEM,2002,63682,102134,62.35142068263262,63682,1,0
Sarah Baker,A,76.0,LIB,2002,3580,102134,3.5051990522255076,63682,0,0
Jay La Suer,A,77.0,REP,2002,70315,105832,66.44020712071963,70315,1,0
Sarah Lowery,A,77.0,DEM,2002,30270,105832,28.60193514248998,70315,0,0
"Virgil ""Randy"" Hall II",A,77.0,LIB,2002,5247,105832,4.957857736790385,70315,0,0
Mark Menanno,A,78.0,LIB,2002,2819,92892,3.0347069715368384,45826,0,0
Shirley Horton,A,78.0,REP,2002,45826,92892,49.33255823967618,45826,1,0
Vince Hall,A,78.0,DEM,2002,44247,92892,47.632734788786976,45826,0,0
Joshua Castro,A,79.0,LIB,2002,2268,56942,3.9830002458642126,37479,0,0
Juan Vargas,A,79.0,DEM,2002,37479,56942,65.81960591479049,37479,1,0
Mark W. Fast,A,79.0,REP,2002,17195,56942,30.1973938393453,37479,0,0
Bonnie Garcia,A,80.0,REP,2002,36254,70011,51.783291197097604,36254,1,0
"Joey Acuna, Jr.",A,80.0,DEM,2002,33757,70011,48.2167088029024,36254,0,0
Laura Jean Likover,S,2.0,LIB,2002,10210,247044,4.132867019640226,156755,0,0
Peggy Redfearn,S,2.0,REP,2002,80079,247044,32.4148734638364,156755,0,0
Wesley Chesbro,S,2.0,DEM,2002,156755,247044,63.45225951652337,156755,1,0
Marianne Smith,S,4.0,DEM,2002,92786,255134,36.367555872600285,148023,0,0
Robert H. Underwood,S,4.0,LIB,2002,14325,255134,5.6146965908111035,148023,0,0
Samuel Aanestad,S,4.0,REP,2002,148023,255134,58.017747536588615,148023,1,0
Deborah Ortiz,S,6.0,DEM,2002,122126,172733,70.70218198028171,122126,1,0
Jason A. Sewell,S,6.0,LIB,2002,44972,172733,26.035557768347683,122126,0,0
Yolanda Knaak,S,6.0,(W/I),2002,5635,172733,3.2622602513706127,122126,0,0
Dennis Zell,S,8.0,REP,2002,38881,203420,19.113656474289648,158999,0,0
Jackie Speier,S,8.0,DEM,2002,158999,203420,78.16291416773178,158999,1,0
Robert Fliegler,S,8.0,LIB,2002,5540,203420,2.7234293579785662,158999,0,0
Ervan Darnell,S,10.0,LIB,2002,4997,154300,3.2384964355152297,103247,0,0
James G. Gunther,S,10.0,REP,2002,46056,154300,29.848347375243033,103247,0,0
Liz Figueroa,S,10.0,DEM,2002,103247,154300,66.91315618924175,103247,1,0
David Eaton,S,12.0,LIB,2002,6950,152861,4.546614244313461,73877,0,0
Jeff Denham,S,12.0,REP,2002,73877,152861,48.32952813340224,73877,1,0
Rusty Areias,S,12.0,DEM,2002,72034,152861,47.1238576222843,73877,0,0
Chuck Poochigian,S,14.0,REP,2002,175369,175369,100.0,175369,1,0
Blair Knox,S,16.0,REP,2002,29747,99250,29.97178841309824,69503,0,0
Dean Florez,S,16.0,DEM,2002,69503,99250,70.02821158690176,69503,1,0
Roy Ashburn,S,18.0,REP,2002,153878,153878,100.0,153878,1,0
Richard Alarcon,S,20.0,DEM,2002,88902,88902,100.0,88902,1,0
Gilbert A. Cedillo,S,22.0,DEM,2002,68282,68282,100.0,68282,1,0
"Carl M. ""Marty"" Swinney",S,24.0,LIB,2002,2741,111092,2.4673243797933244,79227,0,0
Gloria Romero,S,24.0,DEM,2002,79227,111092,71.3165664494293,79227,1,0
Vince House,S,24.0,REP,2002,29124,111092,26.216109170777376,79227,0,0
Kevin Murray,S,26.0,DEM,2002,123814,123814,100.0,123814,1,0
Debra Bowen,S,28.0,DEM,2002,114145,184813,61.76243013207945,114145,1,0
Jo Ann Hill,S,28.0,REP,2002,64627,184813,34.9688604156634,114145,0,0
Peter D. De Baets,S,28.0,LIB,2002,6041,184813,3.2687094522571467,114145,0,0
John O. Robertson,S,30.0,REP,2002,39498,120060,32.89855072463768,80562,0,0
Martha M. Escutia,S,30.0,DEM,2002,80562,120060,67.10144927536233,80562,1,0
Ken Robertson,S,32.0,REP,2002,29101,89862,32.38410006454341,60761,0,0
Nell Soto,S,32.0,DEM,2002,60761,89862,67.6158999354566,60761,1,0
Araceli Gonzalez,S,34.0,REP,2002,39025,102510,38.06945663837674,63485,0,0
Joe Dunn,S,34.0,DEM,2002,63485,102510,61.93054336162326,63485,1,0
Adrienne Westall,S,36.0,DEM,2002,53280,218394,24.3962746229292,151856,0,0
Dennis Hollingsworth,S,36.0,REP,2002,151856,218394,69.53304577964596,151856,1,0
Michael S. Metti,S,36.0,LIB,2002,13258,218394,6.070679597424838,151856,0,0
Bill Morrow,S,38.0,REP,2002,132577,200578,66.09747828774842,132577,1,0
Lars R. Grossmith,S,38.0,LIB,2002,7819,200578,3.8982341034410553,132577,0,0
Philip G. Hanneman,S,38.0,DEM,2002,60182,200578,30.004287608810536,132577,0,0
Denise Moreno Ducheny,S,40.0,DEM,2002,66405,117854,56.34513890067372,66405,1,0
Felix Jeremiah Miranda,S,40.0,LIB,2002,4362,117854,3.7011896074804422,66405,0,0
Michael S. Giorgino,S,40.0,REP,2002,47087,117854,39.953671491845846,66405,0,0
Dave Cox,S,1.0,REP,2004,261207,415961,62.796031358709115,261207,1,0
Kristine Lang McDonald,S,1.0,DEM,2004,141462,415961,34.00847675623436,261207,0,0
Roberto Leibman,S,1.0,LIB,2004,13292,415961,3.1954918850565317,261207,0,0
Andrew D. Felder,S,3.0,REP,2004,98332,378745,25.96258696484442,258166,0,0
Carole Migden,S,3.0,DEM,2004,258166,378745,68.16354011274076,258166,1,0
David Rhodes,S,3.0,LIB,2004,10234,378745,2.7020818756683256,258166,0,0
Ian J. Grimes,S,3.0,PF,2004,12013,378745,3.171791046746492,258166,0,0
Gary A. Podesto,S,5.0,REP,2004,141539,296058,47.80786197299178,154519,0,0
Michael J. Machado,S,5.0,DEM,2004,154519,296058,52.19213802700822,154519,1,0
Tom Torlakson,S,7.0,DEM,2004,282714,282714,100.0,282714,1,0
Don Perata,S,9.0,DEM,2004,248614,322519,77.0850709570599,248614,1,0
Patricia Deutsche,S,9.0,REP,2004,50110,322519,15.53706913391149,248614,0,0
Peter Von Pinnon,S,9.0,LIB,2004,6383,322519,1.9791082075784683,248614,0,0
Tom Condit,S,9.0,PF,2004,17412,322519,5.398751701450147,248614,0,0
Allen M. Rice,S,11.0,LIB,2004,14080,346451,4.064066780006407,230484,0,0
Joe Simitian,S,11.0,DEM,2004,230484,346451,66.5271567985083,230484,1,0
Jon Zellhoefer,S,11.0,REP,2004,101887,346451,29.40877642148529,230484,0,0
Elaine Alquist,S,13.0,DEM,2004,156321,228091,68.53448842786432,156321,1,0
John H. Webster,S,13.0,(W/I),2004,28,228091,0.01227580220175281,156321,0,0
Michael Laursen,S,13.0,LIB,2004,9585,228091,4.2022701465643095,156321,0,0
Shane Patrick Connolly,S,13.0,REP,2004,62157,228091,27.250965623369623,156321,0,0
Abel Maldonado,S,15.0,REP,2004,194674,368874,52.775202372625884,194674,1,0
Brook Madsen,S,15.0,GRN,2004,16644,368874,4.512109826119488,194674,0,0
Peg Pinard,S,15.0,DEM,2004,157556,368874,42.71268780125463,194674,0,0
George C. Runner,S,17.0,REP,2004,179992,301508,59.69725513087547,179992,1,0
John S. Ballard,S,17.0,LIB,2004,12479,301508,4.138861987078286,179992,0,0
Jonathan Daniel Kraut,S,17.0,DEM,2004,109037,301508,36.16388288204625,179992,0,0
Paul Graber,S,19.0,DEM,2004,151085,384450,39.298998569384835,233365,0,0
Tom McClintock,S,19.0,REP,2004,233365,384450,60.701001430615165,233365,1,0
Bob New,S,21.0,LIB,2004,61160,278675,21.946712119852876,217515,0,0
Jack Scott,S,21.0,DEM,2004,217515,278675,78.05328788014712,217515,1,0
Colin Goldman,S,23.0,LIB,2004,18168,349137,5.203687950575276,229321,0,0
Leonard Michael Lanzi,S,23.0,REP,2004,101648,349137,29.114072699255594,229321,0,0
Sheila James Kuehl,S,23.0,DEM,2004,229321,349137,65.68223935016914,229321,1,0
Dale F. Ogden,S,25.0,LIB,2004,6683,224647,2.9748894932939236,165479,0,0
Edward Vincent,S,25.0,DEM,2004,165479,224647,73.66178938512422,165479,1,0
James Arlandus Spencer,S,25.0,REP,2004,52485,224647,23.36332112158186,165479,0,0
Alan S. Lowenthal,S,27.0,DEM,2004,150289,237608,63.250816470825896,150289,1,0
Cesar Navarro Castellanos,S,27.0,REP,2004,87319,237608,36.749183529174104,150289,0,0
Bob Margett,S,29.0,REP,2004,190165,308559,61.63002861689336,190165,1,0
Dan Fernandes,S,29.0,LIB,2004,17044,308559,5.52374100253112,190165,0,0
"Rufino Mallari Bautista, Jr.",S,29.0,DEM,2004,101350,308559,32.84623038057551,190165,0,0
Bob Dutton,S,31.0,REP,2004,170900,287212,59.503084829324685,170900,1,0
Marjorie Musser Mikels,S,31.0,DEM,2004,116312,287212,40.496915170675315,170900,0,0
Dick Ackerman,S,33.0,REP,2004,245116,355429,68.96342166789992,245116,1,0
Randall Daugherty,S,33.0,DEM,2004,110313,355429,31.036578332100085,245116,0,0
John Campbell,S,35.0,REP,2004,230220,360907,63.78928643667206,230220,1,0
Rita B. Siebert,S,35.0,DEM,2004,114126,360907,31.62199680250037,230220,0,0
Timothy Johnson,S,35.0,LIB,2004,16561,360907,4.588716760827582,230220,0,0
Jim Battin,S,37.0,REP,2004,182578,306180,59.63093605068913,182578,1,0
Pat Johansen,S,37.0,DEM,2004,123602,306180,40.36906394931086,182578,0,0
Christine Kehoe,S,39.0,DEM,2004,200737,334706,59.974126546879944,200737,1,0
John Murphy,S,39.0,LIB,2004,15552,334706,4.646465853614814,200737,0,0
Larry Stirling,S,39.0,REP,2004,118417,334706,35.379407599505235,200737,0,0
